ID,Filename,Title (Guess),Year (Guess),Related Work (Guess),Related Node (Guess),Type (Guess),Category,Owner,Artist,Featured,Duplicate,Notes,Width,Height,Orientation
1,brand-virtura-logo-black.png,Virtura Logo Black,,,,unknown,brand,personal,Ewan,No,No,,5534,1000,landscape
2,brand-virtura-logo-white.png,Virtura Logo White,,,,unknown,brand,personal,Ewan,No,No,,5534,1000,landscape
3,event-2023-10-lonely-audiovisual-shanghai-broadcast-01.jpg,2023 10 Lonely Audiovisual Shanghai Broadcast,2023,Shanghai Broadcast Arts Center,Shanghai Broadcast,unknown,event,personal,Ewan,No,No,,1366,1366,square
4,event-2023-10-lonely-audiovisual-shanghai-broadcast-02.jpg,2023 10 Lonely Audiovisual Shanghai Broadcast,2023,Shanghai Broadcast Arts Center,Shanghai Broadcast,unknown,event,personal,Ewan,No,No,,1080,1080,square
5,event-2023-westbound-art-fair-ewan-artwork.jpg,2023 Westbound Art Fair Ewan Artwork,2023,Westbound Art Fair,Westbound Art,unknown,event,personal,Ewan,No,No,,1440,1440,square
6,event-2025-babel-bottle-ewan-with-artwork.jpg,2025 Babel Bottle Ewan With Artwork,2025,Babel Bottle,Babel Bottle,unknown,event,personal,Ewan,No,No,,1920,3413,portrait
7,event-2025-babel-bottle-hangzhou-art-museum.jpg,2025 Babel Bottle Hangzhou Art Museum,2025,Babel Bottle,Babel Bottle,unknown,event,personal,Ewan,No,No,,1080,1350,square
8,event-2025-babel-bottle-new-media-artist-simulator-exhibition.jpg,2025 Babel Bottle New Media Artist Simulator Exhibition,2025,New Media Artist Simulator,New Media Artist,unknown,event,team,Ewan,No,Yes,,1080,1350,square
9,event-2025-can-festival-zhoushan-00.jpg,2025 Can Festival Zhoushan,2025,CAN Festival,Can Festival,unknown,event,personal,Ewan,No,No,,1080,720,landscape
10,event-2025-can-festival-zhoushan-01.jpeg,2025 Can Festival Zhoushan,2025,CAN Festival,Can Festival,unknown,event,personal,Ewan,No,No,,1536,1024,landscape
11,event-2025-can-festival-zhoushan-02.jpeg,2025 Can Festival Zhoushan,2025,CAN Festival,Can Festival,unknown,event,personal,Ewan,No,No,,600,400,landscape
12,event-2025-can-festival-zhoushan-03.jpeg,2025 Can Festival Zhoushan,2025,CAN Festival,Can Festival,unknown,event,personal,Ewan,No,No,,600,400,landscape
13,event-2025-can-festival-zhoushan-04.jpeg,2025 Can Festival Zhoushan,2025,CAN Festival,Can Festival,unknown,event,personal,Ewan,No,No,,600,400,landscape
14,event-2025-hangzhou-art-tech-biennale-group-photo.jpg,2025 Hangzhou Art Tech Biennale Group Photo,2025,Hangzhou Art Tech Biennale,Hangzhou Art Tech,public node,event,team,Ewan,No,No,合影,2568,1926,landscape
15,event-2025-hangzhou-art-tech-biennale-promo.jpg,2025 Hangzhou Art Tech Biennale Promo,2025,Hangzhou Art Tech Biennale,Hangzhou Art Tech,hero,event,team,Ewan,Yes,No,,1080,1440,portrait
16,event-2025-hangzhou-art-tech-biennale-scene.jpg,2025 Hangzhou Art Tech Biennale Scene,2025,Hangzhou Art Tech Biennale,Hangzhou Art Tech,unknown,event,team,Ewan,No,No,,1176,1042,square
17,event-loading-access-2-exhibition-poster-main.jpg,Loading Access 2 Exhibition Poster Main,2024,Loading Access 2,Loading Access,hero,event,team,Ewan,Yes,No,,1080,1341,square
18,event-loading-access-2-exhibition-poster-timer-preview-01.jpg,Loading Access 2 Exhibition Poster Timer Preview,2024,TIMER,Timer,poster,event,team,Ewan,Yes,No,,3465,1899,landscape
19,event-loading-access-2-exhibition-poster-timer-preview-02.jpg,Loading Access 2 Exhibition Poster Timer Preview,2024,TIMER,Timer,poster,event,team,Ewan,Yes,No,,3416,1859,landscape
20,event-loading-access-2-exhibition-timer-digital-stage-01.jpg,Loading Access 2 Exhibition Timer Digital Stage,2024,TIMER,Timer,unknown,event,team,Ewan,No,No,,1412,1155,landscape
21,event-loading-access-2-exhibition-timer-digital-stage-02.jpg,Loading Access 2 Exhibition Timer Digital Stage,2024,TIMER,Timer,unknown,event,team,Ewan,No,No,,1425,1187,landscape
22,event-loading-access-2-exhibition-timer-preview-02.jpg,Loading Access 2 Exhibition Timer Preview,2024,TIMER,Timer,unknown,event,team,Ewan,No,Yes,,3416,1859,landscape
23,event-public-poster-wall.jpg,Public Poster Wall,,,,public node,event,personal,Ewan,Yes,No,,2224,1248,landscape
24,event-titan-mechanical-photosynthesis-bolive-01.jpeg,Titan Mechanical Photosynthesis Bolive,2024,Titan Mechanical Photosynthesis,Titan Mechanical,unknown,event,team,Ewan,No,No,,1536,1024,landscape
25,event-titan-mechanical-photosynthesis-bolive-02.jpeg,Titan Mechanical Photosynthesis Bolive,2024,Titan Mechanical Photosynthesis,Titan Mechanical,unknown,event,team,Ewan,No,No,,1536,1024,landscape
26,event-titan-mechanical-photosynthesis-bolive-03.jpeg,Titan Mechanical Photosynthesis Bolive,2024,Titan Mechanical Photosynthesis,Titan Mechanical,unknown,event,team,Ewan,No,No,,600,450,landscape
27,event-titan-mechanical-photosynthesis-bolive-04.jpeg,Titan Mechanical Photosynthesis Bolive,2024,Titan Mechanical Photosynthesis,Titan Mechanical,unknown,event,team,Ewan,No,No,,1536,1152,landscape
28,event-titan-mechanical-photosynthesis-bolive-05.jpg,Titan Mechanical Photosynthesis Bolive,2024,Titan Mechanical Photosynthesis,Titan Mechanical,unknown,event,team,Ewan,No,No,,1080,1440,portrait
29,event-titan-mechanical-photosynthesis-bolive-promo.jpg,Titan Mechanical Photosynthesis Bolive Promo,2024,Titan Mechanical Photosynthesis,Titan Mechanical,hero,event,team,Ewan,Yes,No,,1080,1440,portrait
30,event-ufo-terminal-roooom-event-poster.jpg,Ufo Terminal Roooom Event Poster,2024,UFO Terminal,Ufo Terminal,poster,event,team,Ewan,Yes,No,,974,1462,portrait
31,event-watching-coexistence-exhibition.jpg,Watching Coexistence Exhibition,,Observation and Symbiosis,Watching Coexistence,unknown,event,personal,Ewan,No,No,,3840,2160,landscape
32,event-wpu-shinjuku-run-away-from-home-promo.jpg,Wpu Shinjuku Run Away From Home Promo,,WPU Shinjuku,Wpu Shinjuku,hero,event,personal,Ewan,Yes,No,,590,737,square
33,ewan-artwork-2024.jpg,Artwork,2024,,,unknown,ewan,personal,Ewan,No,No,,2048,2048,square
34,ewan-artwork-collection.jpg,Artwork Collection,,,,unknown,ewan,personal,Ewan,No,No,,1080,1350,square
35,ewan-event-2023-shanghai-broadcast-center-lonely.jpg,Event 2023 Shanghai Broadcast Center Lonely,2023,Shanghai Broadcast Arts Center,Shanghai Broadcast,unknown,ewan,personal,Ewan,No,No,,1080,1025,square
36,ewan-event-2023-strawberry-music-festival.jpg,Event 2023 Strawberry Music Festival,2023,,,unknown,ewan,personal,Ewan,No,No,,1080,721,landscape
37,ewan-event-2025-ufo-creation-camp-01.jpeg,Event 2025 Ufo Creation Camp,2025,,,unknown,ewan,personal,Ewan,No,No,,3024,4032,portrait
38,ewan-event-2025-ufo-creation-camp-02.jpeg,Event 2025 Ufo Creation Camp,2025,,,unknown,ewan,personal,Ewan,No,No,,4032,3024,landscape
39,ewan-event-phantom-resonance.jpg,Event Phantom Resonance,,,,unknown,ewan,personal,Ewan,No,No,,1080,810,landscape
40,ewan-portrait-formal.jpg,Portrait Formal,,,,portrait,ewan,personal,Ewan,No,No,人物肖像,647,850,portrait
41,ewan-portrait-intro.jpg,Portrait Intro,,,,portrait,ewan,personal,Ewan,No,No,人物肖像,2145,1201,landscape
42,ewan-portrait-main.jpg,Portrait Main,,,,hero,ewan,personal,Ewan,Yes,No,人物肖像,1080,808,landscape
43,ewan-portrait-outdoor-woods.jpg,Portrait Outdoor Woods,,,,portrait,ewan,personal,Ewan,No,No,人物肖像,1080,1350,square
44,ewan-project-timer-2025.jpg,Project Timer,2024,TIMER,Timer,unknown,ewan,team,Ewan,No,No,,1080,1350,square
45,project-datingapp-curator-screenshot-00.jpg,Datingapp Curator Screenshot,2025,DatingApp Curator,Datingapp,documentation,project,personal,Ewan,No,No,屏幕截图,492,978,portrait
46,project-datingapp-curator-screenshot-01.jpg,Datingapp Curator Screenshot,2025,DatingApp Curator,Datingapp,documentation,project,personal,Ewan,No,No,屏幕截图,492,980,portrait
47,project-datingapp-curator-screenshot-02.jpg,Datingapp Curator Screenshot,2025,DatingApp Curator,Datingapp,documentation,project,personal,Ewan,No,No,屏幕截图,492,980,portrait
48,project-datingapp-curator-screenshot-03.jpg,Datingapp Curator Screenshot,2025,DatingApp Curator,Datingapp,documentation,project,personal,Ewan,No,No,屏幕截图,492,980,portrait
49,project-datingapp-curator-screenshot-04.jpg,Datingapp Curator Screenshot,2025,DatingApp Curator,Datingapp,documentation,project,personal,Ewan,No,No,屏幕截图,492,980,portrait
50,project-datingapp-curator-screenshot-05.jpg,Datingapp Curator Screenshot,2025,DatingApp Curator,Datingapp,documentation,project,personal,Ewan,No,No,屏幕截图,1206,2622,portrait
51,project-dropflow-early-concept-final-2504.png,Dropflow Early Concept Final,2024,Drop Flow,Dropflow,archive,project,team,Ewan,No,No,概念设计,3840,2160,landscape
52,project-dropflow-early-concept-final-250419-01.png,Dropflow Early Concept Final 250419,2024,Drop Flow,Dropflow,archive,project,team,Ewan,No,No,概念设计,3840,2160,landscape
53,project-dropflow-early-concept-final-250419-02.png,Dropflow Early Concept Final 250419,2024,Drop Flow,Dropflow,archive,project,team,Ewan,No,No,概念设计,3840,2160,landscape
54,project-dropflow-early-concept-final-250419-03.png,Dropflow Early Concept Final 250419,2024,Drop Flow,Dropflow,archive,project,team,Ewan,No,No,概念设计,3840,2160,landscape
55,project-dropflow-early-concept-final-250426.png,Dropflow Early Concept Final,2024,Drop Flow,Dropflow,archive,project,team,Ewan,No,No,概念设计,3840,2160,landscape
56,project-dropflow-early-concept-sketch.jpg,Dropflow Early Concept Sketch,2024,Drop Flow,Dropflow,archive,project,team,Ewan,No,No,"概念草图, 概念设计",1920,1080,landscape
57,project-dropflow-main.jpg,Dropflow Main,2024,Drop Flow,Dropflow,hero,project,team,Ewan,Yes,No,,3840,2160,landscape
58,project-dropflow-poster-ufo-camp-2025.jpeg,Dropflow Poster Ufo Camp,2024,Drop Flow,Dropflow,poster,project,team,Ewan,Yes,No,,4032,3024,landscape
59,project-dropflow-pre-concept-sketch.jpg,Dropflow Pre Concept Sketch,2024,Drop Flow,Dropflow,archive,project,team,Ewan,No,No,"概念草图, 概念设计",1440,809,landscape
60,project-dropflow-virtura-collective-intro.jpg,Dropflow Virtura Collective Intro,2024,Drop Flow,Dropflow,portrait,project,team,Ewan,No,Yes,,3840,2160,landscape
61,project-garden-memory-g-splat-visionpro-spline-01.jpg,Garden Memory G Splat Visionpro Spline,,Garden Memory,Garden Memory,unknown,project,personal,Ewan,No,No,,2560,1399,landscape
62,project-garden-memory-g-splat-visionpro-spline-02.jpg,Garden Memory G Splat Visionpro Spline,,Garden Memory,Garden Memory,unknown,project,personal,Ewan,No,No,,2560,1399,landscape
63,project-landing-page-screenshot.jpg,Landing Page Screenshot,,,,documentation,project,personal,Ewan,No,No,屏幕截图,2128,1161,landscape
64,project-new-media-artist-simulator-main.jpg,New Media Artist Simulator Main,,New Media Artist Simulator,New Media Artist,hero,project,team,Ewan,Yes,No,,2552,1356,landscape
65,project-new-media-artist-simulator-ui.jpg,New Media Artist Simulator Ui,,New Media Artist Simulator,New Media Artist,unknown,project,team,Ewan,No,No,,2552,1356,landscape
66,project-the-floating-life-ii-edinburgh-fringe-stage-design.jpg,The Floating Life Ii Edinburgh Fringe Stage Design,,The Floating Life II,The Floating Life,unknown,project,personal,Ewan,No,No,,1080,1454,portrait
67,project-timer-main.jpg,Timer Main,2024,TIMER,Timer,hero,project,team,Ewan,Yes,No,,3840,2160,landscape
68,project-timer-on-apple-vision-pro.jpg,Timer On Apple Vision Pro,2024,TIMER,Timer,unknown,project,team,Ewan,No,No,,1440,1440,square
69,project-titan-mechanical-photosynthesis-main.jpg,Titan Mechanical Photosynthesis Main,2024,Titan Mechanical Photosynthesis,Titan Mechanical,hero,project,team,Ewan,Yes,No,,3840,2160,landscape
70,project-vrplay-2025-hackathon-ai-gaussian-01.jpg,Vrplay 2025 Hackathon Ai Gaussian,2025,VRPlay 2025 Hackathon,Vrplay 2025,unknown,project,team,Ewan,No,No,,1014,863,square
71,project-vrplay-2025-hackathon-ai-gaussian-02.jpg,Vrplay 2025 Hackathon Ai Gaussian,2025,VRPlay 2025 Hackathon,Vrplay 2025,unknown,project,team,Ewan,No,No,,1017,952,square
72,project-vrplay-2025-hackathon-brand-vi-01.jpg,Vrplay 2025 Hackathon Brand Vi,2025,VRPlay 2025 Hackathon,Vrplay 2025,unknown,project,team,Ewan,No,No,,1080,1350,square
73,project-vrplay-2025-hackathon-brand-vi-02.jpg,Vrplay 2025 Hackathon Brand Vi,2025,VRPlay 2025 Hackathon,Vrplay 2025,unknown,project,team,Ewan,No,No,,1080,1350,square
74,project-vrplay-2025-hackathon-brand-vi-03.jpg,Vrplay 2025 Hackathon Brand Vi,2025,VRPlay 2025 Hackathon,Vrplay 2025,unknown,project,team,Ewan,No,No,,1080,1343,square
75,project-vrplay-2025-hackathon-brand-vi-04.jpg,Vrplay 2025 Hackathon Brand Vi,2025,VRPlay 2025 Hackathon,Vrplay 2025,unknown,project,team,Ewan,No,No,,1080,913,square
76,project-vrplay-2025-hackathon-brand-vi-bag-design.jpg,Vrplay 2025 Hackathon Brand Vi Bag Design,2025,VRPlay 2025 Hackathon,Vrplay 2025,unknown,project,team,Ewan,No,Yes,,1080,913,square
77,project-vrplay-2025-hackathon-grid-coordinate-transparent.png,Vrplay 2025 Hackathon Grid Coordinate Transparent,2025,VRPlay 2025 Hackathon,Vrplay 2025,unknown,project,team,Ewan,No,No,,4000,4000,square
78,project-vrplay-2025-hackathon-keynote-hd.png,Vrplay 2025 Hackathon Keynote Hd,2025,VRPlay 2025 Hackathon,Vrplay 2025,unknown,project,team,Ewan,No,No,,4000,4000,square
79,screenshot-2026-03-25-web-page.jpg,2026 03 25 Web Page,2026,,,documentation,screenshot,personal,Ewan,No,No,屏幕截图,1824,1828,square
80,screenshot-2026-03-29-code-editor.jpg,2026 03 29 Code Editor,2026,,,documentation,screenshot,personal,Ewan,No,No,屏幕截图,1473,1336,square
81,team-virtura-loading-access-2-exhibition-avatar.jpg,Virtura Loading Access 2 Exhibition Avatar,2024,Loading Access 2,Loading Access,unknown,team,team,Ewan,No,No,,1440,1080,landscape
82,team-virtura-ufo-camp-2025-ewan-sharing.jpg,Virtura Ufo Camp 2025 Ewan Sharing,2024,UFO Terminal,Ufo Camp,unknown,team,team,Ewan,No,No,,1441,1080,landscape
83,team-virtura-ufo-camp-2025-ewan-sihui-portrait.jpg,Virtura Ufo Camp 2025 Ewan Sihui Portrait,2024,UFO Terminal,Ufo Camp,portrait,team,team,Ewan,No,No,人物肖像,1440,1080,landscape
84,team-virtura-ufo-camp-2025-ewan-sihui-test-01.jpg,Virtura Ufo Camp 2025 Ewan Sihui Test,2024,UFO Terminal,Ufo Camp,unknown,team,team,Ewan,No,No,,1440,810,landscape
85,team-virtura-ufo-camp-2025-ewan-sihui-test-02.jpg,Virtura Ufo Camp 2025 Ewan Sihui Test,2024,UFO Terminal,Ufo Camp,unknown,team,team,Ewan,No,No,,1080,1080,square
86,team-virtura-ufo-camp-2025-ewan-test-01.jpg,Virtura Ufo Camp 2025 Ewan Test,2024,UFO Terminal,Ufo Camp,unknown,team,team,Ewan,No,No,,1080,1440,portrait
87,team-virtura-ufo-camp-2025-group-photo.jpg,Virtura Ufo Camp 2025 Group Photo,2024,UFO Terminal,Ufo Camp,public node,team,team,Ewan,No,No,合影,1080,810,landscape
88,team-virtura-vrchat-2023.jpg,Virtura Vrchat,2023,,,unknown,team,personal,Ewan,No,No,,1440,1440,square
89,workflow-blender-to-visionpro-3d-video-01.jpg,Blender To Visionpro 3D Video,,,,documentation,workflow,personal,Ewan,No,No,工作流程,2560,1399,landscape
90,workflow-blender-to-visionpro-3d-video-02.jpg,Blender To Visionpro 3D Video,,,,documentation,workflow,personal,Ewan,No,No,工作流程,1528,944,landscape
91,workshop-2025-ai-life-deconstruction-ewan-with-curator-yini.jpg,2025 Ai Life Deconstruction Ewan With Curator Yini,2025,AI Life Deconstruction,Ai Life Deconstruction,unknown,workshop,team,Ewan,No,No,,1440,1080,landscape
92,workshop-2025-ai-life-deconstruction-ewan-with-participant.jpg,2025 Ai Life Deconstruction Ewan With Participant,2025,AI Life Deconstruction,Ai Life Deconstruction,unknown,workshop,team,Ewan,No,No,,1440,1080,landscape
93,workshop-2025-ai-life-deconstruction-group-photo.jpg,2025 Ai Life Deconstruction Group Photo,2025,AI Life Deconstruction,Ai Life Deconstruction,public node,workshop,team,Ewan,No,No,合影,1440,1080,landscape
94,workshop-2025-ai-life-deconstruction-hangzhou-museum-promo.jpg,2025 Ai Life Deconstruction Hangzhou Museum Promo,2025,AI Life Deconstruction,Ai Life Deconstruction,hero,workshop,team,Ewan,Yes,No,,1080,1178,square
95,workshop-2025-ai-life-deconstruction-participant-speaking.jpg,2025 Ai Life Deconstruction Participant Speaking,2025,AI Life Deconstruction,Ai Life Deconstruction,unknown,workshop,team,Ewan,No,No,,1440,1080,landscape
96,workshop-2025-ai-life-deconstruction-scene.jpg,2025 Ai Life Deconstruction Scene,2025,AI Life Deconstruction,Ai Life Deconstruction,unknown,workshop,team,Ewan,No,Yes,,1080,1178,square
